# ==============================================================================
# Python 题库 (hard)
# 格式：难度|题目|选项A|选项B|选项C|选项D|正确答案(A/B/C/D)|ID
# 以 # 开头为注释，空行忽略
# ==============================================================================
hard|Python 中 GIL（全局解释器锁）的主要影响是？|多线程 CPU 密集型任务无法真正并行|多进程无法并行|内存泄漏|单线程变慢|A|H001
hard|以下哪个是 Python 的元类（metaclass）默认值？|object|metaclass|type|class|C|H002
hard|Python 中 __slots__ 的主要作用是？|限制实例属性，节省内存|定义类方法|控制继承|实现迭代器|A|H003
hard|Python 中上下文管理器协议需要实现哪两个方法？|__enter__ 和 __exit__|__start__ 和 __end__|__open__ 和 __close__|__begin__ 和 __finish__|A|H004
hard|以下哪个是 asyncio 中创建协程任务的正确方式？|asyncio.create_task(coro())|asyncio.run(coro())|asyncio.gather()|以上都可以，视场景而定|D|H005
hard|Python 中描述符（descriptor）协议涉及哪些方法？|__get__/__set__/__delete__|__read__/__write__|__access__/__assign__|__fetch__/__store__|A|H006
hard|表达式 int("1010", 2) 的结果是？|报错|2|10|1010|C|H007
hard|Python 中 collections.defaultdict 的作用是？|限制字典大小|字典按插入顺序排序|访问不存在的键时自动创建默认值|字典键唯一|C|H008
hard|以下哪个方法可以实现对象的可迭代协议？|__iter__ 和 __next__|__loop__ 和 __next__|__each__ 和 __item__|__for__ 和 __in__|A|H009
hard|Python 中 functools.lru_cache 的作用是？|日志记录|异步调用|函数结果缓存（最近最少使用）|类型检查|C|H010
hard|表达式 bytes([72,101,108,108,111]).decode() 的结果是？|[72,101,108,108,111]|报错|"Hello"|"72,101,108,108,111"|C|H011
hard|Python 中 threading.Lock 和 multiprocessing.Lock 的区别？|前者更快|没有区别|前者线程间共享，后者进程间共享|后者不能用|C|H012
hard|以下哪个是 Python 中实现单例模式的常见方式？|使用模块级变量|使用 __new__|使用装饰器|以上都是|D|H013
hard|Python 中 weakref 的主要用途是？|创建弱引用，不阻止对象被垃圾回收|创建空指针|复制对象|序列化对象|A|H014
hard|Python 中 abc 模块的作用是？|数据库连接|异步编程|定义抽象基类|音频处理|C|H015
hard|以下哪个是 Python 3.10+ 的结构化模式匹配语法？|when then|if elif|match case|switch case|C|H016
hard|Python 中 memoryview 的作用是？|查看内存使用|虚拟内存管理|内存泄漏检测|在不复制的情况下操作二进制数据|D|H017
hard|Python 中 itertools.chain([1,2],[3,4]) 的结果是？|[[1,2],[3,4]]|[1,2,3,4]|报错|迭代器依次产出1,2,3,4|D|H018
hard|以下哪个方法控制对象的打印表示（print 时）？|__repr__|__format__|__print__|__str__|D|H019
hard|Python 中 dataclass 装饰器的主要作用是？|自动生成 __init__/__repr__ 等样板代码|定义数据库表|数据校验|异步数据处理|A|H020
hard|表达式 list(zip([1,2],['a','b'])) 的结果是？|[(1,'a'),(2,'b')]|[1,2,'a','b']|[[1,'a'],[2,'b']]|报错|A|H021
hard|Python 中 super() 在多重继承中的调用顺序由什么决定？|字母顺序|继承深度|定义顺序|MRO（方法解析顺序）|D|H022
hard|以下哪个是 Python 中类型提示的正确写法（3.9+）？|list[int]|List[int]|list[int] 和 List[int] 都可以|int[]|C|H023
hard|Python 中 concurrent.futures.ThreadPoolExecutor 的 submit 方法返回什么？|异常|None|直接返回结果|Future 对象|D|H024
hard|表达式 __import__("math").sqrt(16) 的结果是？|4|math.sqrt|16|报错|D|H025
hard|Python 中 __all__ 变量的作用是？|声明全局变量|列出内置函数|定义所有变量|控制 from module import * 导出的名称|D|H026
hard|以下哪个是 Python 中 walrus 运算符（海象运算符）？|:=|==|=>|->|A|H027
hard|以二进制读取模式打开文件的模式字符串是？|'r'|'rb'|'br'|'binary'|B|H028
hard|自定义异常类应该继承哪个基类？|Error|Exception|BaseException|Throwable|B|H029
hard|相对导入中 from .module import x 和 from ..module import x 的区别是？|没有区别|. 表示当前包，.. 表示父包|. 表示父包，.. 表示当前包|. 表示绝对导入，.. 表示相对导入|B|H030
hard|str.maketrans() 方法的作用是？|转换字符串编码|创建字符映射转换表，供 translate() 使用|翻译字符串内容|转换字符串为字节|B|H031
hard|迭代器协议中 __iter__ 方法应该返回什么？|列表|迭代器对象自身（或另一个迭代器）|第一个元素|元素个数|B|H032
hard|生成器函数和普通函数的关键区别是？|生成器函数不能有参数|生成器函数使用 yield 产生值，调用时返回生成器对象而非执行函数体|生成器函数运行更快|生成器函数不能返回值|B|H033
hard|实现带参数的装饰器通常需要几层函数嵌套？|1层|2层|3层|4层|C|H034
hard|上下文管理器的 __exit__ 方法参数不包括以下哪个？|exc_type|exc_val|exc_tb|exc_msg|D|H035
hard|元类（metaclass）的主要用途是？|创建实例对象|控制类的创建行为，在类定义时拦截和修改类|继承父类|管理内存|B|H036
hard|@property 装饰器在描述符协议中对应的是哪个方法？|__get__|__set__|__delete__|__access__|A|H037
hard|async/await 语法中 await 的作用是？|启动新线程|暂停当前协程，等待 awaitable 对象完成后恢复|创建新进程|同步执行代码|B|H038
hard|gc 模块（垃圾回收）的主要作用是？|管理栈内存|检测并回收循环引用的对象，提供垃圾回收控制接口|压缩文件|管理CPU缓存|B|H039
hard|multiprocessing 模块相比 threading 的主要优势是？|创建开销更小|可以绕过 GIL，真正利用多核 CPU 并行执行|共享内存更方便|代码更简单|B|H040
